"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"AL-03","class","https://w3id.org/dpv/loc#AL-03","Elbasan County","Concept representing region Elbasan County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-04","class","https://w3id.org/dpv/loc#AL-04","Fier County","Concept representing region Fier County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-05","class","https://w3id.org/dpv/loc#AL-05","Gjirokastër County","Concept representing region Gjirokastër County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-06","class","https://w3id.org/dpv/loc#AL-06","Korçë County","Concept representing region Korçë County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-07","class","https://w3id.org/dpv/loc#AL-07","Kukës County","Concept representing region Kukës County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-08","class","https://w3id.org/dpv/loc#AL-08","Lezhë County","Concept representing region Lezhë County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-09","class","https://w3id.org/dpv/loc#AL-09","Dibër County","Concept representing region Dibër County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-10","class","https://w3id.org/dpv/loc#AL-10","Shkodër County","Concept representing region Shkodër County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-11","class","https://w3id.org/dpv/loc#AL-11","Tiranë County","Concept representing region Tiranë County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-12","class","https://w3id.org/dpv/loc#AL-12","Vlorë County","Concept representing region Vlorë County in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-EL","class","https://w3id.org/dpv/loc#AL-EL","Elbasan","Concept representing region Elbasan in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-FR","class","https://w3id.org/dpv/loc#AL-FR","Fier","Concept representing region Fier in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-GJ","class","https://w3id.org/dpv/loc#AL-GJ","Gjirokastër","Concept representing region Gjirokastër in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-HA","class","https://w3id.org/dpv/loc#AL-HA","Has District","Concept representing region Has District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-KA","class","https://w3id.org/dpv/loc#AL-KA","Kavajë District","Concept representing region Kavajë District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-KC","class","https://w3id.org/dpv/loc#AL-KC","Kuçovë District","Concept representing region Kuçovë District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-KR","class","https://w3id.org/dpv/loc#AL-KR","Krujë","Concept representing region Krujë in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-KU","class","https://w3id.org/dpv/loc#AL-KU","Kukës District","Concept representing region Kukës District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-LB","class","https://w3id.org/dpv/loc#AL-LB","Librazhd","Concept representing region Librazhd in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-LU","class","https://w3id.org/dpv/loc#AL-LU","Lushnjë","Concept representing region Lushnjë in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-MR","class","https://w3id.org/dpv/loc#AL-MR","Mirditë","Concept representing region Mirditë in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-MT","class","https://w3id.org/dpv/loc#AL-MT","Mat District","Concept representing region Mat District in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
"AL-PG","class","https://w3id.org/dpv/loc#AL-PG","Pogradec","Concept representing region Pogradec in country Albania","https://w3id.org/dpv#Region","","https://w3id.org/dpv/loc#AL","","2024-08-03","","loc","https://w3id.org/dpv/loc"
