"Term Concepts in DPV this extends dpv:DataSubjectRight ","Label ","Description Data Subject Right ","ParentTerm dpv:Concept ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","",""
"A36-AccessToServicesOfGeneralEconomicInterest","A36 Access To Services Of General Economic Interest","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-01","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A37-EnvironmentalProtection","A37 Environmental Protection","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-02","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A38-ConsumerProtection","A38 Consumer Protection","","rights-eu:T4-Solidarity,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-03","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"T5-CitizensRights","T5 Citizens Rights","","rights-eu:EUFundamentalRights","sc","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-04","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A39-RightToVoteStandAsCanditateEUParliament","A39 Right To Vote Stand As Canditate E U Parliament","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-05","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A40-RightToVoteStandAsCandidateMunicipalElections","A40 Right To Vote Stand As Candidate Municipal Elections","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-06","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A41-RightToGoodAdministration","A41 Right To Good Administration","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-07","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A42-RightToAccessToDocuments","A42 Right To Access To Documents","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-08","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A43-EuropeanOmbudsman","A43 European Ombudsman","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"A44-RightToPetition","A44 Right To Petition","","rights-eu:T5-CitizensRights,rights-eu:EUFundamentalRights","a","","","","","(Charter of Fundamental Rights of the European Union,http://data.europa.eu/eli/treaty/char_2012/oj)","2022-08-10","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","","","",""
